id,event,event_text,original_timestamp,timestamp,brand,category,price,f0_,quantity
ajs-next-f2b51d028a2888968c72bbf92f6eb138,wishlist_product_added_to_cart,Wishlist Product Added to Cart,2023-03-06 07:06:19.806000 UTC,2023-03-06 07:06:21.578000 UTC,L’Oreal Paris,Hair Cream,499.0,7523440,1
ajs-next-073b164cb2ba35c186e0fb6b05a7eb49,wishlist_product_added_to_cart,Wishlist Product Added to Cart,2023-02-24 16:52:55.226000 UTC,2023-02-24 16:52:56.381000 UTC,BRYAN & CANDY,Gift Sets,900.0,7536772,1
ajs-next-f84f4b74c9fddf0a7bf285e481306ba9,wishlist_product_added_to_cart,Wishlist Product Added to Cart,2023-03-03 11:23:15.213000 UTC,2023-03-03 11:23:15.200000 UTC,Brut,Mens Deodorants & Roll-Ons,211.0,7548893,1
ajs-next-407a39dfdf21c16aacad62f00e3f81bf,wishlist_product_added_to_cart,Wishlist Product Added to Cart,2023-03-17 05:50:04.109000 UTC,2023-03-17 05:50:04.283000 UTC,Insight Cosmetics,Lip Liner,75.0,7515293,1
ajs-next-a8bf29e4c97ae2e3f86d276052cfd2fb,wishlist_product_added_to_cart,Wishlist Product Added to Cart,2023-03-26 19:50:17.403000 UTC,2023-03-26 19:50:17.599000 UTC,PAC,Sponges & Applicators,375.0,7541847,1
ajs-next-48e246052f2b5659293747a16e838bbe,wishlist_product_added_to_cart,Wishlist Product Added to Cart,2023-01-11 19:01:25.928000 UTC,2023-01-11 19:01:26.237000 UTC,Berina,Hair Spray,688.75,7500585,1
6874eaa5-5447-48d4-8bef-2c733fa865b6,wishlist_product_added_to_cart,Wishlist Product Added to Cart,2023-03-22 18:44:50.310000 UTC,2023-03-22 18:44:50.722000 UTC,MyGlamm,Contour,1125.0,7538073,1
74d59df7-0b9a-40d0-944d-6c072d4852fd,wishlist_product_added_to_cart,Wishlist Product Added to Cart,2023-02-14 06:26:29.645000 UTC,2023-02-14 06:26:32.073000 UTC,Vaseline,Body Lotions & Moisturisers,400.0,7527713,1
0F6C2B06-B9DE-4003-8AFF-0442026D5ADC,wishlist_product_added_to_cart,Wishlist Product Added to Cart,2023-03-28 04:08:53.814000 UTC,2023-03-28 04:08:54.324000 UTC,Invisibobble,Hair Accessories,420.0,7520538,1
e6bbfdc1-caab-46f4-aa6d-67efa0768bb3,wishlist_product_added_to_cart,Wishlist Product Added to Cart,2022-12-28 01:29:39.606000 UTC,2022-12-28 01:29:39.966000 UTC,Wet n Wild,Sponges & Applicators,509.0,7530242,1
43c3b673-215e-4f79-abe6-7b9ae15e8897,wishlist_product_added_to_cart,Wishlist Product Added to Cart,2023-04-08 13:22:58.023000 UTC,2023-04-08 13:22:58.950000 UTC,Pee Safe,Intimate Care,249.0,7517648,1
a770a1b9-c208-4e0c-b954-df62030779e4,wishlist_product_added_to_cart,Wishlist Product Added to Cart,2023-04-08 04:10:43.228000 UTC,2023-04-08 04:10:43.918000 UTC,Colorbar,Nail Care,140.0,7502988,1
44716abd-79a1-4a7e-a0fe-668b65e195f0,wishlist_product_added_to_cart,Wishlist Product Added to Cart,2023-03-17 07:11:53.855000 UTC,2023-03-17 07:11:54.581000 UTC,Profusion Cosmetics,Blush Brush,595.0,7526695,1
7b87aaa0-eeec-4af1-9c1d-21c4410c02fc,wishlist_product_added_to_cart,Wishlist Product Added to Cart,2023-03-24 14:19:57.860000 UTC,2023-03-24 14:19:59.153000 UTC,Power Gummies,Multivitamins,1200.0,7524795,1
d31bbaba-d6fd-45b3-97c6-42374e33d340,wishlist_product_added_to_cart,Wishlist Product Added to Cart,2023-03-24 03:43:22.686000 UTC,2023-03-24 03:43:23.295000 UTC,Bobbi Brown,Highlighters,2150.0,7502800,1
9A919868-A9AD-4E5A-A866-D77B9C60670F,wishlist_product_added_to_cart,Wishlist Product Added to Cart,2023-03-25 12:23:06.820000 UTC,2023-03-25 12:23:06.978000 UTC,Miss Claire,Eyebrow Enhancer,67.0,7502290,1
ebbd1a0c-bfaf-437f-a5b8-056f319afaad,wishlist_product_added_to_cart,Wishlist Product Added to Cart,2023-02-22 21:03:35.882000 UTC,2023-02-22 21:03:37.581000 UTC,MyGlamm,Scrubs & Exfoliators,661.0,7501623,1
A393CB6F-B7DE-4A95-B262-0CB2D4CAC3C2,wishlist_product_added_to_cart,Wishlist Product Added to Cart,2023-03-08 13:33:41.928000 UTC,2023-03-08 13:33:42.154000 UTC,mCaffeine,Body Scrubs & Exfoliants,395.0,7527779,1
ajs-next-b341d9c99580a7c6e6260f5788768605,wishlist_product_added_to_cart,Wishlist Product Added to Cart,2023-02-13 06:52:02.438000 UTC,2023-02-13 06:52:02.448000 UTC,Dot & Key,Lip Masks,645.0,7522717,1
f07b8d38-697c-4516-afaf-faf75c63ffd2,wishlist_product_added_to_cart,Wishlist Product Added to Cart,2023-03-27 05:17:12.278000 UTC,2023-03-27 05:17:13.463000 UTC,Colorbar,BB & CC Creams,520.0,7508535,1
