id,brand,category,event,event_text,name,original_timestamp,timestamp,price,product_id,quantity
ajs-next-015b7af6596d763141f3d46941181c03,Colorbar,Hand Creams,product_added_to_wishlist,Product Added to Wishlist,Colorbar Toast To Tahiti Fruit Drop Hand Cream (30g),2022-08-18 04:49:25.199 UTC,2022-08-18 04:49:25.534 UTC,275,7504904,1
ajs-next-3c228cfd2f01ea106b9334a279c7ad2b,India Grooming Club,Shavers,product_added_to_wishlist,Product Added to Wishlist,India Grooming Club Black Shaving Razor Handle (1Pc),2023-03-06 03:03:23.175 UTC,2023-03-06 03:03:23.144 UTC,16000,7521080,1
ajs-next-6f9ab2addfcee447d343fca05b7e8f1f,Vega,Mani-Pedi Tools & Kits,product_added_to_wishlist,Product Added to Wishlist,"set of Foot care, (PM-03)",2023-03-06 07:43:28.6 UTC,2023-03-06 07:43:28.605 UTC,,7513281,1
ajs-next-64cd4a9906319b038a2cb26402866a2a,Gillette,Razors & Cartridges,product_added_to_wishlist,Product Added to Wishlist,Gillette Mach 3 Turbo Manual Shaving Razor Blades Cartridge (2Pcs),2023-02-25 11:07:47.504 UTC,2023-02-25 11:07:48.719 UTC,,7547314,1
ajs-next-11fc7950c2e75f7c009cb6b57be395fb,L'Oreal Paris,Hair Colour,product_added_to_wishlist,Product Added to Wishlist,"L'Oreal Paris Casting Creme Gloss Hair Color, 323 Sonam's Dark Chocolate, 87.5g+72ml",2023-02-26 17:54:36.813 UTC,2023-02-26 17:54:37.215 UTC,,7500061,1
ajs-next-8aec42591521af5f2759607fd7495ac1,PAC,Eye Brush,product_added_to_wishlist,Product Added to Wishlist,PAC Eyebrow Brush - 117 (1Pc),2023-02-22 16:40:33.509 UTC,2023-02-22 16:40:33.986 UTC,395,7541720,1
ajs-next-c2f7cd14af0c42f12ebd022a70c5858c,Shiseido,Eye Creams & Serums,product_added_to_wishlist,Product Added to Wishlist,Shiseido Future Solution Lx Eye & Lip Contour Regenerating Cream (17ml),2023-02-22 05:13:32.726 UTC,2023-02-22 05:13:33.039 UTC,,7544246,1
ajs-next-ce4bedcb9ae29cf7b16081c433ca16b7,Vaseline,Body Lotions & Moisturisers,product_added_to_wishlist,Product Added to Wishlist,Vaseline Intensive Care Cocoa Glow Body Lotion - (200ml),2023-03-18 17:40:54.506 UTC,2023-03-18 17:40:54.852 UTC,210,7527613,1
ajs-next-8716b8751a752dbc0e70805946dd1e4e,Ustraa,Beard Oil,product_added_to_wishlist,Product Added to Wishlist,Ustraa Beard Growth Oil Advanced - (60ml),2023-03-18 17:40:17.349 UTC,2023-03-18 17:40:17.683 UTC,489,7531283,1
ajs-next-5d7bfd5506628fb38e0353339d008d84,Garnier,BB & CC Cream,product_added_to_wishlist,Product Added to Wishlist,Garnier Skin Naturals Vitamin C BB Cream (30g),2022-12-28 08:49:46.636 UTC,2022-12-28 08:49:48.606 UTC,199,7504041,1
ajs-next-50b3c13b4cce2b80972286c6bb3442a7,Boujee Beauty,Brush Sets,product_added_to_wishlist,Product Added to Wishlist,Boujee Beauty Face Brushes Combo Set - S102 (5 Pcs),2022-12-28 06:34:05.079 UTC,2022-12-28 06:34:05.364 UTC,,7503693,1
ajs-next-63a67cbfe721c1d76cce140845fb74dc,Mamaearth,Hair Mask,product_added_to_wishlist,Product Added to Wishlist,Mamaearth Onion Hair Mask (200g),2023-03-22 17:16:13.6 UTC,2023-03-22 17:16:13.793 UTC,557,7520766,1
ajs-next-b81ec1faa80b8dc410eb5c567db84da9,Hunter 1114,Hair Stylings,product_added_to_wishlist,Product Added to Wishlist,Hunter 1114 Raw Matte Clay (86ml),2023-03-22 17:39:09.698 UTC,2023-03-22 17:39:11.136 UTC,1035,7535244,1
ajs-next-080852bb4ce3d542e0d9b16ca25ab87a,SUGAR Cosmetics,Loose Powder,product_added_to_wishlist,Product Added to Wishlist,Sugar All Set To Go Banana Loose Powder - Beige (7g),2023-03-22 15:39:47.423 UTC,2023-03-22 15:39:46.664 UTC,,7502478,1
ajs-next-ef0c75416fd1753d5ad2356849cc477d,Uncle Tony,Beard Oil,product_added_to_wishlist,Product Added to Wishlist,Uncle Tony Beard Oil (50ml),2023-02-13 08:14:36.805 UTC,2023-02-13 08:14:36.82 UTC,,7546238,1
ajs-next-3353fd6400cf37403789e99da4e0623c,Gans,Body Butters,product_added_to_wishlist,Product Added to Wishlist,Gans Stretch Marks Body Butter (100g),2023-02-13 15:00:42.179 UTC,2023-02-13 15:00:42.187 UTC,559,7538169,1
ajs-next-9404f4fb99671f98fcd2cef04d3f32f2,Basicare,Eyelash Curlers,product_added_to_wishlist,Product Added to Wishlist,Basicare Ergonomic Eyelash Curler,2023-02-28 01:01:44.736 UTC,2023-02-28 01:01:44.718 UTC,,7537593,1
ajs-next-c169011deec32873c6ec3094898291c5,Gillette,Razors & Cartridges,product_added_to_wishlist,Product Added to Wishlist,Gillette Venus Breeze Hair Removal Razor for Women (1Pc),2023-03-08 03:14:35.123 UTC,2023-03-08 03:14:35.544 UTC,,7547353,1
ajs-next-35f53d764b682052cb622ae960024a5b,Sirona,Shavers,product_added_to_wishlist,Product Added to Wishlist,Sirona 5 Blade Cartridge Hair Removal Razor For Women (2Pcs),2023-02-14 08:58:55.762 UTC,2023-02-14 08:58:55.77 UTC,,7522347,1
ajs-next-a9b85cc81cb1dccf647cc332c73e1e60,Sirona,Intimate Hygiene,product_added_to_wishlist,Product Added to Wishlist,Sirona Feminine Pain Relief Patches (5Pcs),2023-02-14 11:22:32.634 UTC,2023-02-14 11:22:32.634 UTC,154,7517179,1
ajs-next-00c9ce8e17967ea0d33449f270d9fcd5,Bella Vita Organic,Face Oil,product_added_to_wishlist,Product Added to Wishlist,Bella Vita Organic Kumkumadi Face Oil (30ml),2023-02-14 15:31:10.332 UTC,2023-02-14 15:31:10.53 UTC,,7522880,1
ajs-next-31d31dd104481291e919bc8aa71ba4af,Garnier,Hair Color,product_added_to_wishlist,Product Added to Wishlist,Garnier Men Shampoo Based Hair Color - Shade 1.0 Natural Black (10ml + 10ml),2022-08-10 06:48:06.107 UTC,2022-08-10 06:48:06.219 UTC,,7505088,1
c2b8cc6c-5eca-47d8-9fc8-496ce6b519ed,Berina,Hair Straighteners,product_added_to_wishlist,Product Added to Wishlist,Berina Professional Intelligent Smart Straightening Iron BC60X (200g),2023-03-23 04:18:41.838 UTC,2023-03-23 04:18:42.353 UTC,5999,7542249,1
ajs-next-d0fec1a3d6da7b2101633462d422fcdd,Boujee Beauty,Brush Sets,product_added_to_wishlist,Product Added to Wishlist,Boujee Beauty Professional Brush Set With Travel Case - S109 (18 Pcs),2022-09-12 11:51:14.886 UTC,2022-09-12 11:51:15.32 UTC,,7503634,1
ajs-next-6415674f7f4096f81624d4536f001d0a,INSIGHT Cosmetics,Nail Polish Remover,product_added_to_wishlist,Product Added to Wishlist,Insight Cosmetics Apple Nail Polish Wipes (30 Pcs),2022-09-12 07:23:43.613 UTC,2022-09-12 07:23:47.919 UTC,45,7512577,1
ajs-next-550e3f6c6ddea41a4f8a0f2090610a25,Innisfree,Hand Creams & Masks,product_added_to_wishlist,Product Added to Wishlist,Innisfree Special Care Hand Mask (20ml),2023-01-10 07:11:24.501 UTC,2023-01-10 07:11:24.943 UTC,,7533827,1
ajs-next-5b81bac11b95e9791f611ebad1fc4142,Miss Rose,Lip Gloss,product_added_to_wishlist,Product Added to Wishlist,Miss Rose Long Lasting Metallic Lip Gloss - 13 Red Velvet (5g),2022-12-27 18:16:45.062 UTC,2022-12-27 18:16:45.376 UTC,,7513584,1
ajs-next-5210657662b4773a1fb0cf6ac34ce881,Faces Canada,Makeup Remover,product_added_to_wishlist,Product Added to Wishlist,Faces Canada Hydro Makeup Remover - (100ml),2023-02-24 14:42:57.648 UTC,2023-02-24 14:42:57.877 UTC,,7509310,1
ajs-next-4120e5b366f60fd1dd5f3c41250e6a67,Dove,Hand Wash,product_added_to_wishlist,Product Added to Wishlist,Dove Nourishing Liquid Hand Wash (900ml),2023-02-24 15:58:54.296 UTC,2023-02-24 15:58:54.529 UTC,,7537482,1
ajs-next-a09a6ed5f7a5276707a72dcf322f4b0b,GUBB,Sponges & Applicators,product_added_to_wishlist,Product Added to Wishlist,GUBB Beauty Blender Set of 4 - Peach & Pink (100g),2023-02-24 15:46:49.528 UTC,2023-02-24 15:46:49.743 UTC,849,7524453,1
ajs-next-a21d350be88ae8b893da0fd75d42a7b0,The Man Company,Beard Oil,product_added_to_wishlist,Product Added to Wishlist,The Man Company Almond & Thyme Beard Growth Oil (30ml),2023-03-20 16:51:53.802 UTC,2023-03-20 16:51:53.831 UTC,266,7533613,1
ajs-next-481f504df0856b1e2900a52acbec3ffd,PAC,Eye Brush,product_added_to_wishlist,Product Added to Wishlist,PAC Eyeshadow Blending Brush - 388 (1Pc),2023-03-20 16:03:34.037 UTC,2023-03-20 16:03:34.642 UTC,535,7541671,1
ajs-next-75bda921acfb692a0952cbc59e8371c1,Star Struck by Sunny Leone,Nail Polish Sets,product_added_to_wishlist,Product Added to Wishlist,Star Struck by Sunny Leone Nail Polish - Multicolor (10Pcs),2023-03-01 00:43:08.978 UTC,2023-03-01 00:43:09.01 UTC,,7545172,1
ajs-next-679a4c9115c56a4e765d8db7c3914290,Boujee Beauty,Brush Sets,product_added_to_wishlist,Product Added to Wishlist,Boujee Beauty Face Brushes Combo Set - S102 (5 Pcs),2023-03-01 06:17:55.492 UTC,2023-03-01 06:17:45.994 UTC,,7503693,1
ajs-next-62617559ad83fe49a19a49cfdd16f58a,Miss Claire,Sheet Masks,product_added_to_wishlist,Product Added to Wishlist,Miss Claire Nature Essence Face Mask - Avocado (25ml),2023-03-13 03:34:22.605 UTC,2023-03-13 03:34:23.416 UTC,,7531957,1
ajs-next-6413f23f5726c8ee7c2b0360ff04a7cd,Aqualogica,Sheet Masks,product_added_to_wishlist,Product Added to Wishlist,Aqualogica Glow+ Lush Sheet Mask (25g),2023-03-13 18:26:09.284 UTC,2023-03-13 18:26:09.671 UTC,,7548156,1
ajs-next-1edafc59107082449f7ac95acae6c034,Garnier,Hair Color,product_added_to_wishlist,Product Added to Wishlist,Garnier Men Shampoo Based Hair Color - Shade 1.0 Natural Black (10ml + 10ml),2023-01-03 10:27:29.014 UTC,2023-01-03 10:27:28.444 UTC,,7505088,1
ajs-next-b25dc31cc0c28946c28abdbcd6ea7681,Swiss Beauty,Eye Shadow,product_added_to_wishlist,Product Added to Wishlist,Swiss Beauty 12 Color Ultra Professional Eye Shadow - 01 Shade (10g),2023-03-10 08:37:04.899 UTC,2023-03-10 08:37:06.786 UTC,,7542709,1
ajs-next-16c3ed24d63ec14c105afb40041588e9,Dove,Hair Mask,product_added_to_wishlist,Product Added to Wishlist,Dove Intense Damage Repair Hair Mask (300ml),2023-03-10 05:13:11.295 UTC,2023-03-10 05:13:11.605 UTC,446,7537582,1
ajs-next-1b74f508c19b565a60cb51862538f504,Blue Heaven,Setting Spray,product_added_to_wishlist,Product Added to Wishlist,Blue Heaven Long Lasting Makeup Fixer (115ml),2022-12-23 16:46:27.834 UTC,2022-12-23 16:46:27.777 UTC,,7537694,1
ajs-next-c8afa8ca37180cbc33331b597b045c66,Revlon,Hair Color,product_added_to_wishlist,Product Added to Wishlist,Revlon Colorsilk Hair Color - 2N Brown Black (91.8ml),2022-12-22 07:43:26.198 UTC,2022-12-22 07:43:26.551 UTC,,7521051,1
ajs-next-d7d7aa25164a3bf98bdce56a0b1dd171,Plum,Hand Creams,product_added_to_wishlist,Product Added to Wishlist,Plum Bodylovin Feelin So Rose Hand Cream - (50g),2022-08-26 09:27:51.267 UTC,2022-08-26 09:27:51.585 UTC,,7504114,1
ajs-next-8518bb4e41018abdc60a29dd102df134,Bella Vita Organic,Lip Stain,product_added_to_wishlist,Product Added to Wishlist,"Bella Vita Organic Strawberry 3 in 1 Tinty for Lips, Cheeks & Eyelids (8gm)",2023-03-19 16:08:11.084 UTC,2023-03-19 16:08:11.114 UTC,349,7527090,1
ajs-next-612bc238d596a8d9aead11283a17bebc,Sugarbear,Biotin - Hair,product_added_to_wishlist,Product Added to Wishlist,Sugarbear Hair Gummies For Healthy Hair - 30 Gummies,2023-03-19 09:21:18.427 UTC,2023-03-19 09:21:20.571 UTC,1999,7548422,1
ajs-next-509374a7f8bf3e54cc9c09bc651c3a30,Organic India,All Other Supplements,product_added_to_wishlist,Product Added to Wishlist,Organic India OH-Boy Men's Virility Capsule (30 Capsule),2023-03-23 03:53:26.923 UTC,2023-03-23 03:53:27.153 UTC,499,7542906,1
ajs-next-8e3812ee9771f4ed3e6825ab6517f753,18.21 Man Made,Hair Stylings,product_added_to_wishlist,Product Added to Wishlist,18.21 Man Made Sweet Tobacco Hair Styling Pomade - (56.7g),2023-02-16 05:27:46.679 UTC,2023-02-16 05:27:46.87 UTC,,7532388,1
ajs-next-33207311775cdee42e906a8dae7c891f,Ustraa,Beard Oil,product_added_to_wishlist,Product Added to Wishlist,Ustraa Ayurvedic Beard Growth Oil - (100ml),2023-02-16 01:01:46.374 UTC,2023-02-16 01:01:46.377 UTC,,7531453,1
ajs-next-4d0f4340446e408fc845af0e86bf6c81,St.Botanica,Face Oil,product_added_to_wishlist,Product Added to Wishlist,St.Botanica Bakuchiol Face Oil Natural Anti Aging Elixir (30ml),2023-01-17 08:53:01.679 UTC,2023-01-17 08:53:01.706 UTC,799,7538684,1
ajs-next-a8c9ee3fd47c123202c10aa4de8ffe31,Streax,Hair Colour,product_added_to_wishlist,Product Added to Wishlist,Streax Hair Colour - 3 Dark Brown (25gm+20ml),2023-03-22 08:18:49.633 UTC,2023-03-22 08:18:49.877 UTC,,7545570,1
ajs-next-98528da3042332e1cd232c6d8c743dc3,The Man Company,Beard Wax,product_added_to_wishlist,Product Added to Wishlist,The Man Company Almond & Thyme Beard Wax (50g),2023-01-13 06:11:06.804 UTC,2023-01-13 06:11:07.296 UTC,,7533596,1
ajs-next-4a67824a38196fdb0146adbc2653b1b4,The Man Company,Moustache Oil,product_added_to_wishlist,Product Added to Wishlist,The Man Company Moustache Growth Oil Roll-On (8ml),2023-01-02 11:59:47.541 UTC,2023-01-02 11:59:47.97 UTC,249,7533606,1
ajs-next-63e125cfd13e6a2620f566b0970b79f9,Street Wear,Lip Liner,product_added_to_wishlist,Product Added to Wishlist,Streetwear Lip Liner - Ripping Red (0.3g),2023-01-06 22:17:55.618 UTC,2023-01-06 22:17:56.006 UTC,,7515494,1
ajs-next-7c7cb66fc134300f66002adcc266317e,Mirah Belle,Hand Sanitizers,product_added_to_wishlist,Product Added to Wishlist,Mirah Belle 72.9% Alcohol Hand Rub Sanitizer Gel (100ml),2023-01-09 07:34:18.92 UTC,2023-01-09 07:34:19.131 UTC,47,7527770,1
ajs-next-b48bd600562fd515ccdc66fbc5094b18,Smashbox,Blush Brush,product_added_to_wishlist,Product Added to Wishlist,Smashbox Cream Cheek Brush - 1Pc,2023-01-09 07:10:45.932 UTC,2023-01-09 07:10:46.191 UTC,,7541112,1
ajs-next-94e3f9b0a5e510b8579b0b982c59556a,Kimirica,Hand Creams & Masks,product_added_to_wishlist,Product Added to Wishlist,Kimirica How Holiday Smells Almond Oil & Shea Butter Hand Wash and Hand Lotion Duo (2Pcs),2023-03-14 10:32:28.856 UTC,2023-03-14 10:32:28.891 UTC,1338,7517779,1
ajs-next-2d68575508e97443d66cd793617afd9e,23 Yards,Pre & Post Shaves,product_added_to_wishlist,Product Added to Wishlist,23 Yards Pre Shave Oil (50ml),2023-02-20 11:03:46.922 UTC,2023-02-20 11:03:46.912 UTC,261,7518689,1
ajs-next-9fbba09f72dd71a58c4798bd46dc8568,Miss Claire,Lip Liner,product_added_to_wishlist,Product Added to Wishlist,Miss Claire Glimmersticks Lipliner - L-37 Cardinal Red (1.4g),2023-02-09 02:55:31.165 UTC,2023-02-09 02:55:31.172 UTC,58,7502077,1
ajs-next-4cc1a912a51fd555e7a30b857daa53a9,Whisper,Pantyliners,product_added_to_wishlist,Product Added to Wishlist,Whisper Clean and Fresh Daily Liners (40Pcs),2023-02-09 10:17:55.587 UTC,2023-02-09 10:17:55.592 UTC,,7548544,1
465D3C78-CFB3-4171-A0C6-0F36F66C71BB,Innisfree,Hand & Foot Masks,product_added_to_wishlist,Product Added to Wishlist,Innisfree Special Care Foot Mask (20ml),2023-02-08 06:15:25.276 UTC,2023-02-08 06:15:26.712 UTC,190,7534202,1
d0518fa8-fde5-42e6-bacc-a658f772fe23,Colorbar,Body Lotions & Moisturizers,product_added_to_wishlist,Product Added to Wishlist,Colorbar Toast To Tahiti Body Lotion (250ml),2022-09-09 12:19:47.579 UTC,2022-09-09 12:19:48.776 UTC,345,7501022,
9ac0b817-1219-4591-8645-ec38c7824b80,Colorbar,Body Lotions & Moisturizers,product_added_to_wishlist,Product Added to Wishlist,Colorbar Hydra Whitening Day Lotion (30ml),2022-09-09 12:19:46.529 UTC,2022-09-09 12:19:47.726 UTC,990,7500689,
97254ED6-D4F6-4F3E-B786-291D58E7B7F3,Smiloshine,Smiloshine,product_added_to_wishlist,Product Added to Wishlist,Smiloshine Lollipop Tongue Cleaner for Kids,2023-01-23 17:26:40.997 UTC,2023-01-23 17:26:41.534 UTC,40,7533826,1
42da5d13-ac0f-4d4e-b76c-9729754a46e1,Babila,Sponges & Applicators,product_added_to_wishlist,Product Added to Wishlist,Babila Beauty Blender Sponge SP-V09,2023-02-18 15:20:08.35 UTC,2023-02-18 15:20:09.174 UTC,120,7546064,1
0f579586-691c-46e4-85b2-3d4966d91755,18.21 Man Made,Gels & Waxes,product_added_to_wishlist,Product Added to Wishlist,18.21 Man Made Sweet Tobacco Hair Styling Paste - (56.7g),2022-08-11 07:24:47.406 UTC,2022-08-11 07:24:47.964 UTC,3000,7500504,
E1A580F9-75CE-4239-B453-92E97AF4A132,KAMA Ayurveda,Hair Colour,product_added_to_wishlist,Product Added to Wishlist,Kama Ayurveda Organic Indigo Powder - Black (100g),2023-03-17 15:39:33.307 UTC,2023-03-17 15:39:33.958 UTC,850,7508093,1
39519C36-0F24-4A4F-8E22-3A6C077043D2,Himalaya,Baby Oil,product_added_to_wishlist,Product Added to Wishlist,Himalaya Baby Massage Oil (200ml),2023-03-14 11:30:28.123 UTC,2023-03-14 11:30:28.396 UTC,180,7524103,1
64EEF1DD-78BA-4610-8965-EFCFFA45D038,BBlunt,Hair Spray,product_added_to_wishlist,Product Added to Wishlist,BBlunt Hot Shot Heat Protection Mist With Grapeseed Oil & Provitamin B5 (150ml),2023-03-14 10:49:24.258 UTC,2023-03-14 10:49:24.734 UTC,424,7547813,1
E28B349C-48B3-4953-B8CD-A7AD87436BA8,The Moms Co.,Hand Creams,product_added_to_wishlist,Product Added to Wishlist,The Moms Co. Body Lotion (200ml),2023-01-06 22:01:10.45 UTC,2023-01-06 22:01:10.884 UTC,282,7522844,1
4b861b21-1533-48a7-859b-e1418bd50d0d,Vega,Hair Accessories,product_added_to_wishlist,Product Added to Wishlist,Vega X-Pro Professional Hair Clipper VHCP-02,2023-03-09 13:20:57.55 UTC,2023-03-09 13:20:56.414 UTC,1889,7540193,1
76d95aa4-4e50-476d-a3d0-bb1e384af3ea,Lakme,Eyebrow Enhancer,product_added_to_wishlist,Product Added to Wishlist,Lakme Absolute Explore Eye Pencil - Vibrant Azure (1.2g),2023-03-09 13:22:51.241 UTC,2023-03-09 13:22:51.809 UTC,435,7546993,1
7FDF68C7-791F-47FB-85FA-2ADCB38C9977,The Man Company,Nutritional Supplements,product_added_to_wishlist,Product Added to Wishlist,The Man Company Hair Growth Tonic (100ml),2022-12-27 15:53:20.709 UTC,2022-12-27 15:53:21.008 UTC,499,7536254,1
780f2b63-1fd9-4c2b-9103-c714bfcf4ce5,Plum,Mens Body Mist & Sprays,product_added_to_wishlist,Product Added to Wishlist,Plum Bodylovin' Hawaiian Rumba Body Mist - (150ml),2023-02-14 06:12:39.678 UTC,2023-02-14 06:12:02.72 UTC,446,7506176,1
