id,event,event_text,original_timestamp,timestamp,products
ajs-next-80303a676f89ebb9036a491d95ab6570,order_completed,Order Completed,2023-03-19 20:10:06.213000 UTC,2023-03-19 20:10:06.469000 UTC,"[{""brand"":""SUGAR Cosmetics"",""name"":""Sugar All Set To Go Banana Loose Powder - Beige (7g)"",""price"":599,""product_id"":7502478,""quantity"":1}]"
ajs-next-4fc10eaec64b82e00abc8467556856da,order_completed,Order Completed,2023-03-05 06:19:42.092000 UTC,2023-03-05 06:19:42.331000 UTC,"[{""brand"":""PAC"",""name"":""PAC Eyeliner Brush - 372 (1Pc)"",""price"":345,""product_id"":7541854,""quantity"":1},{""brand"":""CLINIQUE"",""name"":""Clinique Moisture Surge 100H Auto-Replenishing Hydrator (75ml)"",""price"":4100,""product_id"":7543048,""quantity"":1},{""brand"":""CLINIQUE"",""name"":""GWP CLINIQUE High Impact Mascara - Deluxe Sample (3.5ml)"",""price"":0,""product_id"":7546267,""quantity"":1}]"
ajs-next-c1fd06c4e696a6b63bd1ee7622808c8b,order_completed,Order Completed,2023-02-22 14:16:32.534000 UTC,2023-02-22 14:16:32.790000 UTC,"[{""brand"":""COSRX"",""name"":""COSRX Low pH Good Morning Gel Cleanser (150ml)"",""price"":765,""product_id"":7524037,""quantity"":1},{""brand"":""M.A.C"",""name"":""M.A.C Mini Lipstick - Ruby Woo (1.8g)"",""price"":715,""product_id"":7526275,""quantity"":1}]"
ajs-next-d8ede9207444f5e19fee52400e7dc85d,order_completed,Order Completed,2022-08-03 11:49:53.590000 UTC,2022-08-03 11:49:53.825000 UTC,"[{""item_brand"":""Colorbar"",""item_id"":7500059,""item_name"":""Colorbar 24Hrs Weightless Liquid Foundation - Fc 6.2 Sand (25ml)""}]"
ajs-next-bcd8f02a519fddd307167edf6937d202,order_completed,Order Completed,2022-08-29 04:57:47.181000 UTC,2022-08-29 04:57:47.415000 UTC,"[{""item_brand"":""Elle 18"",""item_id"":7502715,""item_name"":""Elle18 Nail Pops Nail Color - Shade 02 (5ml)""}]"
ajs-next-7c037476702bad3abb8c216284e0bda8,order_completed,Order Completed,2022-12-30 07:11:00.777000 UTC,2022-12-30 07:11:01.119000 UTC,"[{""brand"":""Blue Heaven"",""name"":""Blue Heaven Classic Kajal (2g)"",""price"":10.19,""product_id"":7540474,""quantity"":1}]"
ajs-next-2618f1b6770e71dd7adc8f0666bee484,order_completed,Order Completed,2023-02-20 05:36:16.120000 UTC,2023-02-20 05:36:16.341000 UTC,"[{""brand"":""Garnier"",""name"":""Garnier Men Shampoo Based Hair Color - Shade 3.16 Burgundy (10ml + 10ml)"",""price"":29,""product_id"":7505256,""quantity"":2},{""brand"":""Garnier"",""name"":""Garnier Men Shampoo Hair Color - 03 Brown Black (20ml)"",""price"":35,""product_id"":7548093,""quantity"":1}]"
ajs-next-0bca3ded5373974049535632671e5de1,order_completed,Order Completed,2023-03-01 14:00:29.577000 UTC,2023-03-01 14:00:30.133000 UTC,"[{""brand"":""Nivea"",""name"":""Nivea Men Mint Extracts Body Wash And Shower Gel (250ml)"",""price"":199,""product_id"":7517177,""quantity"":6}]"
ajs-next-a0e7034d03ef0a835e4090422d46ee7f,order_completed,Order Completed,2023-02-25 17:30:52.983000 UTC,2023-02-25 17:30:51.697000 UTC,"[{""brand"":""CLINIQUE"",""name"":""Clinique Moisture Surge 100H Auto Replenishing Hydrator (30ml)"",""price"":1170,""product_id"":7543062,""quantity"":1}]"
ajs-next-84a87cfe5e8dae6298c8cd12d74dda28,order_completed,Order Completed,2023-02-13 19:10:51.925000 UTC,2023-02-13 19:10:52.176000 UTC,"[{""brand"":""Osia Osia"",""name"":""Osia Osia Intense Oud Soap (125g)"",""price"":395,""product_id"":7517966,""quantity"":1}]"
